,시도별,40세
1,서울,157941
2,부산,52646
3,대구,37362
4,인천,49497
5,광주,23982
6,대전,22950
7,울산,19253
8,세종,7770
9,경기,229695
10,강원,20727
11,충북,23288
12,충남,32459
13,전북,24582
14,전남,24653
15,경북,37031
16,경남,53034
17,제주,11165
