"행정구역","2019년12월_계_총인구수","2019년12월_계_연령구간인구수","2019년12월_계_30세"
"전국  (0000000000)","51,849,861","631,550","631,550"
"서울특별시  (1100000000)","9,729,107","149,445","149,445"
"부산광역시  (2600000000)","3,413,841","39,715","39,715"
"대구광역시  (2700000000)","2,438,031","28,369","28,369"
"인천광역시  (2800000000)","2,957,026","38,174","38,174"
"광주광역시  (2900000000)","1,456,468","16,472","16,472"
"대전광역시  (3000000000)","1,474,870","18,493","18,493"
"울산광역시  (3100000000)","1,148,019","13,906","13,906"
"세종특별자치시  (3600000000)","340,575","4,502","4,502"
"경기도  (4100000000)","13,239,666","167,270","167,270"
"강원도  (4200000000)","1,541,502","14,919","14,919"
"충청북도  (4300000000)","1,600,007","17,444","17,444"
"충청남도  (4400000000)","2,123,709","23,309","23,309"
"전라북도  (4500000000)","1,818,917","16,689","16,689"
"전라남도  (4600000000)","1,868,745","16,102","16,102"
"경상북도  (4700000000)","2,665,836","25,721","25,721"
"경상남도  (4800000000)","3,362,553","34,233","34,233"
"제주특별자치도  (5000000000)","670,989","6,787","6,787"
