"행정구역","2019년12월_계_총인구수","2019년12월_계_연령구간인구수","2019년12월_계_40세"
"전국  (0000000000)","51,849,861","828,035","828,035"
"서울특별시  (1100000000)","9,729,107","157,941","157,941"
"부산광역시  (2600000000)","3,413,841","52,646","52,646"
"대구광역시  (2700000000)","2,438,031","37,362","37,362"
"인천광역시  (2800000000)","2,957,026","49,497","49,497"
"광주광역시  (2900000000)","1,456,468","23,982","23,982"
"대전광역시  (3000000000)","1,474,870","22,950","22,950"
"울산광역시  (3100000000)","1,148,019","19,253","19,253"
"세종특별자치시  (3600000000)","340,575","7,770","7,770"
"경기도  (4100000000)","13,239,666","229,695","229,695"
"강원도  (4200000000)","1,541,502","20,727","20,727"
"충청북도  (4300000000)","1,600,007","23,288","23,288"
"충청남도  (4400000000)","2,123,709","32,459","32,459"
"전라북도  (4500000000)","1,818,917","24,582","24,582"
"전라남도  (4600000000)","1,868,745","24,653","24,653"
"경상북도  (4700000000)","2,665,836","37,031","37,031"
"경상남도  (4800000000)","3,362,553","53,034","53,034"
"제주특별자치도  (5000000000)","670,989","11,165","11,165"
