,시도별,50세
1,서울,167963
2,부산,58184
3,대구,44861
4,인천,53420
5,광주,25120
6,대전,27378
7,울산,21877
8,세종,5137
9,경기,244110
10,강원,26889
11,충북,29015
12,충남,36008
13,전북,30463
14,전남,30525
15,경북,45794
16,경남,62107
17,제주,12200
