시군구별(1),시군구별(2),2019,2019,2019,2019,2019
시군구별(1),시군구별(2),응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
,화성시,910,4.6,0.7,4.5,0.6
강원도,소계,"15,810",5.9,0.3,5.7,0.4
,강릉시,890,7.1,1.0,7.1,1.2
,고성군,873,3.1,0.6,4.2,0.9
,동해시,889,7.5,1.0,5.5,0.7
,삼척시,887,5.6,0.9,6.1,1.2
,속초시,885,3.1,0.7,3.8,0.9
,양구군,861,5.7,0.9,6.0,1.0
,양양군,866,4.5,0.6,3.8,0.9
,영월군,874,6.3,0.9,4.6,1.0
,원주시,892,6.6,0.9,6.4,0.8
,인제군,871,5.8,1.5,5.9,1.4
,정선군,875,2.0,0.4,1.5,0.5
,철원군,877,4.9,0.8,4.2,0.8
,춘천시,891,5.6,0.9,5.8,1.0
,태백시,879,8.3,1.0,7.3,1.2
,평창군,877,7.1,0.9,4.4,0.7
,홍천군,882,6.9,1.1,5.7,1.0
,화천군,863,2.9,0.7,2.9,0.8
,횡성군,878,4.5,0.7,3.4,0.8
충청북도,소계,"12,481",6.8,0.3,6.4,0.3
,괴산군,879,8.2,1.2,5.6,1.5
,단양군,881,5.6,0.8,5.7,1.4
,보은군,884,5.3,1.0,5.5,1.3
,영동군,887,5.2,0.8,4.5,0.9
,옥천군,889,6.1,0.9,5.6,1.3
,음성군,891,9.8,1.1,8.9,1.3
,제천시,896,9.9,1.1,10.3,1.4
,증평군,885,10.3,1.2,9.9,1.2
,진천군,889,5.3,0.8,4.7,0.8
,청주시,"3,602",5.9,0.5,5.8,0.4
,충주시,898,7.3,1.0,6.7,0.9
충청남도,소계,"13,480",6.6,0.3,6.5,0.3
,계룡시,893,4.2,0.9,3.9,0.7
,공주시,907,7.7,1.0,7.9,1.4
,금산군,891,5.9,1.0,5.7,1.4
,논산시,914,8.3,1.3,9.9,1.7
,당진시,899,8.2,1.2,9.1,1.3
,보령시,906,4.7,0.9,5.0,1.4
,부여군,898,4.8,0.7,3.8,1.0
,서산시,899,8.3,0.9,8.0,1.0
,서천군,896,4.9,0.9,5.0,1.3
,아산시,903,6.9,0.9,6.6,0.9
,예산군,896,5.6,1.0,5.4,1.1
,천안시,903,5.8,0.8,5.8,0.7
,청양군,886,4.0,0.9,3.0,0.7
,태안군,893,6.4,0.8,4.7,0.9
,홍성군,896,9.9,1.3,8.6,1.0
