"시설ID","시설명","서비스분류코드","서비스분류","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트유무","사이트URL","사용료무료여부","사용료","평일시작시간","평일종료시간","사용시간구분코드","사용시간구분","시작시간1","종료시간1","시작시간2","종료시간2","시작시간3","종료시간3","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"GN191102","강남구공동육아나눔터 신한 꿈도담터 ","1004","공동육아나눔터","11680","강남구","1001","영유아","127.07776","37.49405","06336","서울특별시 강남구 개포로 617-8","강남구건강가정지원센터 1층 신한 꿈도담터 (개포동)","N","","Y","","0900","1800","Y","종일운영","0900","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 15:41:41.0"
"DJ191102","동작구공동육아나눔터","1004","공동육아나눔터","11590","동작구","1001","영유아","126.97756","37.48839","06999","서울특별시 동작구 동작대로29길 63-26","지층 (사당동)","Y","http://dchfc.familynet.or.kr","Y","","1000","1800","Y","종일운영","1000","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 15:40:52.0"
"GD191102","강동구 공동육아나눔터","1004","공동육아나눔터","11740","강동구","1001","영유아","127.14626","37.54979","05292","서울시 강동구 양재대로 138길 41","2층 강동구건강가정?다문화가족지원센터","N","","Y","","0900","1800","Y","종일운영","0900","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 11:36:12.0"
"GR191104","구로구 공동육아나눔터 2","1004","공동육아나눔터","11530","구로구","1001","영유아","126.84665","37.49559","08272","서울특별시 구로구 경인로20가길 68 (오류동)","행복주택 단지 내 1층","Y","https://gurofc.familynet.or.kr","Y","","1000","1800","Y","종일운영","1000","1800","","","","","Y","1000","1500","2019-11-21 13:51:38.0","2019-11-26 15:48:49.0"
"SM191104","서대문구 초등돌봄 공동육아나눔터(꿈도담터)","1004","공동육아나눔터","11410","서대문구","1001","영유아","126.93899","37.5763","03719","서울시 서대문구 연희로 32길 48","연희성원아파트 관리동 2층 꿈도담터","N","","N","","1000","1900","Y","종일운영","1000","1900","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 15:46:41.0"
"SM191103","서대문구공동육아나눔터","1004","공동육아나눔터","11410","서대문구","1001","영유아","126.94842","37.58318","03730","서울특별시 서대문구 통일로27길 19","홍제1동 자치회관 2층","N","","N","","0900","1800","Y","종일운영","0900","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-12-08 19:26:43.0"
"EP191101","은평구공동육아나눔터","1004","공동육아나눔터","11380","은평구","1001","영유아","126.92963060594887","37.60430603611627","03381","서울특별시 은평구 은평로21가길 15-17","은평구건강가정다문화가족지원센터 내 1층 (녹번동)","N","","Y","","0900","1800","","","0900","1800","","","","","Y","0900","1500","2019-11-21 13:51:38.0","2019-12-08 19:31:14.0"
"JN191101","종로구 공동육아나눔터","1004","공동육아나눔터","11110","종로구","1001","영유아","127.0132354794616","37.57371028165563","03105","서울특별시 종로구 종로53길 29","토월 3층 공동육아나눔터","N","","Y","","1000","1800","N","시간제운영","1000","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-12-04 11:02:16.0"
"JR191104","중랑구공동육아나눔터","1004","공동육아나눔터","11260","중랑구","1001","영유아","127.09313","37.58112","02212","서울특별시 중랑구 용마산로 327","2층","N","","N","","1000","1800","Y","종일운영","1000","1800","","","","","Y","1000","1700","2019-11-21 13:51:38.0","2019-11-26 15:42:40.0"
"SB191102","성북구 행복 나눔터 2호점(초등돌봄)","1004","공동육아나눔터","11290","성북구","1003","초등학생","127.02308","37.60113","02807","서울특별시 성북구 동소문로 34길 73 금호어울림아파트","휘트니스 2층 ","N","","Y","","1500","1800","N","시간제운영","","","","","","","N","","","2019-11-21 13:51:38.0","2021-07-16 16:55:48.0"
"SB191103","성북구 공동육아 행복나눔터","1004","공동육아나눔터","11290","성북구","1001","영유아","127.01302301712649","37.60661749167948","02718","서울특별시 성북구 정릉로27길 61-6","성북온가족행복지원센터 4층 (정릉동)","N","","Y","","1000","1730","N","시간제운영","","","","","","","Y","0930","1330","2019-11-21 13:51:38.0","2021-07-16 17:02:12.0"
"NW191101","노원구 공동육아나눔터","1004","공동육아나눔터","11350","노원구","1001","영유아","127.07382731937395","37.62209701255504","01856","서울특별시 노원구 동일로173가길 87","1층 (공릉동)","N","","Y","","1000","1800","","","1000","1800","","","","","N","","","2019-11-21 13:51:38.0","2020-01-30 16:59:18.0"
"GR191103","구로구 공동육아나눔터 1","1004","공동육아나눔터","11530","구로구","1001","영유아","126.88975","37.48256","08383","서울특별시 구로구 우마2길 35 (가리봉동)","3층","Y","https://gurofc.familynet.or.kr","Y","","1000","1800","Y","종일운영","1000","1800","","","","","N","","","2019-11-21 13:51:38.0","2020-01-30 09:42:54.0"
"GS191103","강서구 공동육아나눔터","1004","공동육아나눔터","11500","강서구","1001","영유아","126.8489","37.52905","07781","서울시 강서구 강서로 5길 50 곰달래문화센터","4층","N","","Y","","0900","1800","","","0900","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 15:47:37.0"
"SC191102","서초구 공동육아나눔터 '키움'","1004","공동육아나눔터","11650","서초구","1001","영유아","127.00921","37.50501","06545","서울시 서초구 사평대로 205 파미에스테이션 2층","서초구열린육아나눔터 '키움'","N","","N","","1000","1700","","","0930","1730","","","","","Y","1300","1500","2019-11-21 13:51:38.0","2019-11-26 15:37:43.0"
"GA191103","관악구 공동육아나눔터(제 2센터)","1004","공동육아나눔터","11620","관악구","1001","영유아","126.9584","37.47631","08790","서울시 관악구 낙성대로 4가길 5 4F (낙성대동주민센터)","관악구건강가정지원센터 ","N","","N","","0900","1800","Y","종일운영","0900","1800","","","","","N","","","2019-11-21 13:51:38.0","2019-11-26 14:41:14.0"
"GA191102","관악구 건강가정다문화가족지원센터 공동육아나눔터","1004","공동육아나눔터","11620","관악구","1001","영유아","126.94497","37.46755","08825","서울시 관악구 신림로 3길 35","남파 김삼준 문화복지기념관 3층","N","","N","","0900","1800","Y","종일운영","0900","1800","","","","","Y","1000","1700","2019-11-21 13:51:38.0","2019-11-26 14:33:06.0"
"SP191105","송파구 공동육아나눔터","1004","공동육아나눔터","11710","송파구","1001","영유아","127.11959","37.53158","05531","서울시 송파구 토성로 19길 37","2층 공동육아나눔터","N","","N","","0900","1800","N","시간제운영","0900","1200","1300","1800","","","N","","","2019-11-21 13:51:38.0","2019-11-26 11:41:33.0"
