"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트유무","사이트URL","사용료무료여부","사용료","평일시작시간","평일종료시간","사용시간구분코드","사용시간구분","시작시간1","종료시간1","시작시간2","종료시간2","시작시간3","종료시간3","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"NW200404","3호점 월계3동 도담도담나눔터(열린육아방)","1002","열린육아방","11350","노원구","1001","영유아","127.06978","37.61826","01913","서울특별시 노원구 마들로 31","119동 101호 (월계동 그랑빌아파트)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080403","Y","0","1000","1700","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2020-04-02 17:10:53.0","2020-04-02 18:04:18.0"
"NW200403","2호점 공릉2동 도담도담나눔터(열린육아방)","1002","열린육아방","11350","노원구","1001","영유아","127.08812","37.62607","01799","서울특별시 노원구 화랑로51길 78","503동 101호 (공릉동 비선아파트)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080402","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2020-04-02 16:51:25.0","2020-04-02 18:03:55.0"
"GB200201","강북구 열린육아방(육아카페)","1002","열린육아방","11305","강북구","1001","영유아","127.01261","37.64049","01036","서울특별시 강북구 인수봉로66길 9","3층 (수유동)","N","","Y","0","0900","1800","N","시간제운영","","","","","","","N","","","2020-02-04 16:44:53.0","2020-02-04 16:47:23.0"
"MP200118","성산1동 열린육아방 (모아뜰)","1002","열린육아방","11440","마포구","1001","영유아","126.90791","37.56337","03965","서울특별시 마포구 성산로4길 15","1층 (성산동)","N","","Y","0","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","N","","","2020-01-31 19:47:57.0","2021-02-26 14:20:44.0"
"SM191106","홍제 행복열린육아방","1002","열린육아방","11410","서대문구","1001","영유아","126.94693445221088","37.59694364732762","03619","서울특별시 서대문구 간호대로 25-40","1층 (홍제동 주함해븐빌)","Y","https://www.sdmccic.or.kr/?pno=030103","Y","0","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","N","","","2019-11-22 11:16:32.0","2019-12-09 15:40:30.0"
"GD191103","명일2동 마을커뮤니티센터","1002","열린육아방","11740","강동구","1001","영유아","127.15401","37.54903","05271","서울특별시 강동구 명일동 249-9","2층 (명일동)","N","","Y","0","0900","1800","N","시간제운영","0900","1100","1300","1500","1500","1700","N","","","2019-11-20 14:52:52.0","2019-12-08 18:46:40.0"
"SP191106","위례 열린육아방","1002","열린육아방","11710","송파구","1001","영유아","127.13483374188428","37.47616294091133","05814","서울시 송파구 위례순환로 477 위례포레샤인아파트","2302동 1층","Y","https://www.spscc.or.kr/bbs/board.php?bo_table=s2_2_3_1","Y","0","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","Y","1000","1700","2019-11-20 14:52:52.0","2020-02-19 10:49:47.0"
"GA191104","아이랑(난향점)","1002","열린육아방","11620","관악구","1001","영유아","126.91814","37.46397","08859","서울특별시 관악구 난곡로9길 29-2","2층 (신림동)","N","","N","","0900","1800","N","시간제운영","1000","1130","1300","1430","1530","1700","N","","","2019-11-20 14:52:51.0","2019-11-27 14:34:56.0"
"GN191104","삼성열린육아방","1002","열린육아방","11680","강남구","1001","영유아","127.05554","37.51178","06165","서울특별시 강남구 봉은사로 82길 23","3층","Y","https://gncare.go.kr/gnccic_child/","Y","0","0900","1800","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","0900","1400","2019-11-20 14:52:51.0","2021-07-12 17:17:39.0"
"DJ191105","맘스하트카페 흑석동점","1002","열린육아방","11590","동작구","1001","영유아","126.96659","37.50583","06982","서울특별시 동작구 흑석한강로 11","흑석동주민센터 2층","Y","http://dccic.go.kr/html/sub/bindex.php?pno=090604","Y","0","0930","1730","N","시간제운영","1000","1200","1330","1500","","","N","","","2019-11-20 14:52:51.0","2019-11-26 16:01:17.0"
