기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	관악구	청룡동	20,739	13,435	3,771	1,841	1,351	284	43	14
2020	관악구	난곡동	11,724	4,155	3,289	2,262	1,575	335	88	20
2020	관악구	삼성동	9,806	3,132	2,935	1,958	1,368	336	64	13
2020	관악구	미성동	12,763	4,186	3,458	2,615	1,930	466	91	17
2020	서초구	소계	156,123	43,942	38,867	34,840	30,091	6,593	1,412	378
2020	서초구	서초1동	8,498	3,203	2,036	1,600	1,271	277	89	22
2020	서초구	서초2동	8,331	3,238	1,950	1,572	1,261	237	55	18
2020	서초구	서초3동	12,928	4,851	3,292	2,424	1,823	411	97	30
2020	서초구	서초4동	10,007	1,529	2,260	2,724	2,864	513	94	23
2020	서초구	잠원동	10,352	2,809	2,363	2,511	2,195	387	65	22
2020	서초구	반포본동	3,601	354	938	1,049	1,022	184	50	X
2020	서초구	반포1동	12,977	5,087	2,498	2,408	2,337	504	109	34
2020	서초구	반포2동	4,591	314	924	1,323	1,561	386	72	11
2020	서초구	반포3동	7,036	910	1,671	2,105	1,928	354	56	12
2020	서초구	반포4동	6,404	1,110	1,685	1,785	1,411	326	68	19
2020	서초구	방배본동	7,308	1,683	1,779	1,724	1,651	372	81	18
2020	서초구	방배1동	6,973	2,318	1,952	1,404	1,013	222	46	18
2020	서초구	방배2동	7,708	2,182	2,265	1,675	1,223	289	59	15
2020	서초구	방배3동	7,407	1,472	2,128	1,909	1,519	293	65	21
2020	서초구	방배4동	8,917	2,585	2,243	1,904	1,714	375	72	24
2020	서초구	양재1동	16,746	4,776	4,394	3,568	2,881	883	194	50
2020	서초구	양재2동	9,715	3,938	2,522	1,618	1,256	304	60	17
2020	서초구	내곡동	6,624	1,583	1,967	1,537	1,161	276	80	20
2020	강남구	소계	208,833	68,999	51,531	42,703	36,286	7,517	1,436	361
2020	강남구	신사동	6,407	2,047	1,744	1,343	986	219	52	16
2020	강남구	논현1동	12,277	7,121	2,983	1,242	705	175	39	12
2020	강남구	논현2동	10,079	4,618	2,608	1,590	996	199	56	12
2020	강남구	삼성1동	4,975	1,433	1,380	1,078	824	211	34	15
2020	강남구	삼성2동	11,869	4,236	2,765	2,329	2,043	389	88	19
2020	강남구	대치1동	6,986	350	1,147	2,101	2,760	520	83	25
2020	강남구	대치4동	9,237	4,269	2,117	1,450	1,111	231	51	8
2020	강남구	역삼1동	20,356	12,735	4,551	1,763	995	244	50	18
2020	강남구	역삼2동	13,846	4,735	2,712	2,924	2,837	525	94	19
2020	강남구	도곡1동	7,782	1,872	1,871	1,933	1,707	310	69	20
2020	강남구	도곡2동	10,773	1,408	2,676	3,076	2,961	551	85	16
2020	강남구	개포1동	2,328	550	654	528	474	95	23	X
2020	강남구	개포4동	7,798	2,280	2,095	1,717	1,371	273	49	13
2020	강남구	일원본동	7,486	923	1,765	2,119	2,196	411	60	12
2020	강남구	일원1동	6,789	2,631	1,839	1,214	846	196	52	11
2020	강남구	일원2동	6,874	1,927	1,899	1,611	1,205	206	24	X
2020	강남구	수서동	7,377	3,083	2,453	1,141	544	128	23	5
2020	강남구	세곡동	16,739	4,891	4,233	3,376	3,042	933	204	60
2020	강남구	압구정동	9,202	1,822	2,676	2,384	1,817	404	79	20
2020	강남구	청담동	10,254	3,203	2,715	2,211	1,628	384	87	26
2020	강남구	대치2동	11,972	1,807	2,567	3,426	3,446	623	85	18
2020	강남구	개포2동	7,427	1,058	2,081	2,147	1,792	290	49	10
2020	송파구	소계	255,766	73,694	66,503	57,189	46,703	9,457	1,803	417
2020	송파구	풍납1동	5,776	1,869	1,655	1,172	854	171	45	10
2020	송파구	풍납2동	9,807	2,880	2,485	2,345	1,672	338	75	12
2020	송파구	거여1동	5,022	1,396	1,455	1,096	848	172	39	16
2020	송파구	거여2동	6,811	1,883	2,056	1,516	1,081	231	34	10
2020	송파구	마천1동	7,899	2,403	2,291	1,607	1,164	354	60	20
2020	송파구	마천2동	7,786	2,296	2,385	1,656	1,104	265	62	18
2020	송파구	방이1동	5,752	1,381	1,383	1,386	1,275	251	60	16
2020	송파구	방이2동	13,074	6,641	3,137	1,826	1,177	232	53	8
2020	송파구	오륜동	5,498	361	1,269	1,745	1,705	359	48	11
2020	송파구	오금동	14,344	3,077	4,095	3,616	2,799	605	128	24
2020	송파구	송파1동	11,283	4,706	3,041	1,898	1,263	304	57	14
2020	송파구	송파2동	6,985	1,242	1,808	1,833	1,693	340	59	10
2020	송파구	석촌동	15,316	6,716	4,047	2,511	1,609	333	78	22
2020	송파구	삼전동	14,526	6,327	3,740	2,417	1,613	350	61	18
2020	송파구	가락본동	10,576	3,173	2,907	2,292	1,737	387	63	17
2020	송파구	가락1동	9,534	1,255	2,791	2,785	2,281	355	59	8
2020	송파구	가락2동	11,482	2,272	2,817	3,087	2,716	468	98	24
2020	송파구	문정1동	7,854	2,134	2,103	1,754	1,499	284	63	17
2020	송파구	문정2동	14,590	7,515	3,321	1,991	1,440	251	58	14
2020	송파구	잠실본동	13,850	6,559	3,414	2,123	1,391	296	53	14
2020	송파구	잠실4동	6,766	669	1,573	2,129	1,988	335	58	14
2020	송파구	잠실6동	5,446	577	1,523	1,617	1,359	285	67	18
2020	송파구	잠실7동	3,156	302	980	961	739	147	21	6
2020	송파구	잠실2동	10,998	1,160	2,117	3,152	3,848	598	105	18
2020	송파구	잠실3동	11,186	1,116	2,930	3,443	3,027	563	85	22
2020	송파구	장지동	11,408	2,747	3,237	2,729	2,106	486	92	11
2020	송파구	위례동	9,041	1,037	1,943	2,502	2,715	697	122	25
2020	강동구	소계	177,148	50,316	47,740	39,449	31,456	6,659	1,242	286
2020	강동구	강일동	11,277	2,081	3,046	2,542	2,572	861	150	25
2020	강동구	상일동	10,984	1,441	2,834	3,130	2,938	555	77	9
2020	강동구	명일1동	9,315	1,698	2,646	2,523	2,001	371	64	12
2020	강동구	명일2동	5,536	763	1,238	1,511	1,638	317	53	16
2020	강동구	고덕1동	8,352	1,143	1,701	2,416	2,546	450	80	16
2020	강동구	고덕2동	8,108	1,730	2,175	2,093	1,770	291	45	X
2020	강동구	암사2동	5,903	1,481	1,671	1,452	1,040	214	39	6
2020	강동구	암사3동	5,881	707	1,488	1,698	1,580	336	52	20
2020	강동구	천호1동	11,401	3,749	3,350	2,323	1,546	343	80	10
2020	강동구	천호3동	12,312	5,205	3,444	2,034	1,283	267	63	16
2020	강동구	성내1동	7,513	1,808	2,038	1,894	1,433	273	51	16
2020	강동구	성내2동	11,418	5,143	3,028	1,845	1,081	247	63	11
2020	강동구	성내3동	9,554	3,134	2,613	1,976	1,442	318	54	17
2020	강동구	둔촌1동	13	6	X	X	X	X	X	X
2020	강동구	둔촌2동	9,940	2,389	2,763	2,407	1,924	380	61	16
2020	강동구	암사1동	14,431	4,551	4,008	3,064	2,229	464	89	26
2020	강동구	천호2동	15,701	6,378	4,433	2,689	1,710	380	84	27
2020	강동구	길동	19,509	6,909	5,261	3,850	2,722	592	136	39
