기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	동대문구	휘경1동	6,643	3,336	1,391	987	720	164	39	6
2020	동대문구	휘경2동	10,915	4,785	2,335	1,855	1,497	336	81	26
2020	동대문구	청량리동	8,652	3,236	2,517	1,541	1,018	281	48	11
2020	동대문구	용신동	15,702	8,464	3,551	2,035	1,273	279	71	29
2020	동대문구	제기동	11,662	5,399	2,959	1,798	1,120	303	65	18
2020	동대문구	전농1동	13,584	5,814	3,212	2,419	1,667	370	79	23
2020	동대문구	전농2동	7,163	1,691	2,044	1,701	1,302	328	79	18
2020	동대문구	답십리2동	11,756	3,448	3,396	2,573	1,818	409	97	15
2020	동대문구	장안1동	15,931	5,502	4,191	3,234	2,276	566	133	29
2020	동대문구	장안2동	12,363	3,212	3,275	2,947	2,306	464	134	25
2020	동대문구	이문1동	9,934	5,774	1,856	1,130	886	217	59	12
2020	동대문구	이문2동	8,173	2,503	2,120	1,740	1,366	347	74	23
2020	동대문구	답십리1동	11,567	3,717	2,869	2,577	1,828	470	82	24
2020	중랑구	소계	164,832	56,605	45,576	32,612	23,295	5,344	1,107	293
2020	중랑구	면목2동	10,689	3,974	2,905	2,009	1,377	337	69	18
2020	중랑구	면목4동	7,843	2,678	2,240	1,554	1,049	259	45	18
2020	중랑구	면목5동	5,707	1,540	1,665	1,341	943	181	29	8
2020	중랑구	면목7동	9,479	3,294	2,768	1,856	1,217	259	67	18
2020	중랑구	상봉1동	9,424	2,377	2,578	2,206	1,851	331	68	13
2020	중랑구	상봉2동	10,267	5,309	2,646	1,344	758	163	38	9
2020	중랑구	중화1동	8,117	2,353	2,407	1,758	1,266	254	60	19
2020	중랑구	중화2동	12,182	5,455	3,256	1,987	1,131	282	52	19
2020	중랑구	묵1동	13,560	3,741	3,588	3,091	2,406	593	107	34
2020	중랑구	묵2동	8,356	3,049	2,268	1,646	1,055	261	64	13
2020	중랑구	망우3동	7,359	2,695	2,045	1,426	927	215	43	8
2020	중랑구	신내1동	13,646	2,426	3,753	3,226	3,128	896	172	45
2020	중랑구	신내2동	8,454	2,273	2,548	1,946	1,376	256	48	7
2020	중랑구	면목본동	15,626	6,360	4,292	2,734	1,760	374	86	20
2020	중랑구	면목3.8동	11,263	4,347	3,099	2,085	1,369	277	66	20
2020	중랑구	망우본동	12,860	4,734	3,518	2,403	1,682	406	93	24
2020	성북구	소계	179,660	61,510	45,693	36,539	27,954	6,373	1,272	319
2020	성북구	돈암1동	5,808	1,385	1,788	1,348	1,006	219	51	11
2020	성북구	돈암2동	8,111	1,188	2,100	2,316	1,980	427	78	22
2020	성북구	안암동	9,264	5,964	1,688	870	584	126	26	6
2020	성북구	보문동	7,147	3,011	1,713	1,321	877	196	21	8
2020	성북구	정릉1동	7,051	1,819	1,800	1,706	1,354	294	63	15
